Site Name,Number of Cleaning Events,Monday-Saturday,Sunday,Weight of waste
Alfie Byrne Road,10,10,0,0.011
Ballyboggan Road,15,12,3,0.016
Ballyfermot - Tesco,17,17,0,0.048
Ballymun - Coultry Green,13,13,0,0.013
Ballymun - Library,18,18,0,0.013
Ballymun - SC,13,13,0,0.013
BLCO Sport Centre,7,7,0,0.011
Bluebell - Cottage Inn,4,4,0,0.003
Clarehall - NAPCO,9,8,1,0.012
Clarehall Tesco,14,11,3,0.012
DCC - Ballymun Civic Amenity Center,3,3,0,0
Eastwall Road,9,9,0,0.011
Finglas - Supervalu,14,11,3,0.016
Grattan Crescent,7,7,0,0.01
IFSC - Custom House Square,1,1,0,0
Mellowes Road - Fire Station,19,16,3,0.016
Milltown Bring Centre,8,8,0,0.007
Newmarket - Dublin 8,9,9,0,0.011
Newtown House Pub - Coolock,14,11,3,0.014
O Sheas/ Farmer Browns Pub Car Park,10,10,0,0.007
Orchard Community Centre,5,5,0,0.007
Oscar Traynor Coaching and Development Centre,19,19,0,0.021
Parkgate Street - Opposite Ashling Hotel,6,6,0,0.011
Poppintree Community Centre,6,6,0,0.005
Priorswood,21,21,0,0.02
Shangan Road,13,13,0,0.013
Smithfield,7,7,0,0.01
St Finbars GAA Cabra,10,10,0,0.011
St Michaels Parish Church,7,7,0,0.011
St Oliver Plunkett GAA,5,5,0,0.006
Tolka Valley Road Site 1,15,12,3,0.016
Tonlegee Road,16,13,3,0.014
Walkinstown Green,9,9,0,0.009
Walkinstown Library,10,10,0,0.01
Totals in Cleaning,363,341,22,0.411
